"id","unequal","0","24","48","72","96",">120"
"169","1","1.0","1.5","1.5","2.0","0.75","0.0"
"170","1","0.75","0.75","0.75","0.5","0.125","0.0"
"171","1","0.75","0.5","0.375","0.5","0.125","0.0"
"172","1","0.75","0.25","0.625","1.0","0.625","0.125"
"173","1","0.7","0.6","0.8","0.4","0.5","0.0"
"174","1","0.6666666666666666","0.6666666666666666","0.5","0.3333333333333333","0.5","0.0"
"175","1","0.6666666666666666","0.6666666666666666","0.5833333333333334","0.6666666666666666","0.5833333333333334","0.0"
"176","0","1.0","0.5","1.0","1.0","1.0","0.3333333333333333"
"177","0","0.5","0.5","1.0","0.5","0.0","0.0"
"178","0","0.5","1.0","1.0","0.75","0.5","0.16666666666666666"
"179","0","0.5","1.0","0.5","1.0","0.5","0.16666666666666666"
"180","1","0.8","0.8","0.6","0.8","0.8","0.8"
"181","0","1.0","0.5","1.0","0.5","0.5","0.0"
"182","0","0.75","1.0","0.5","0.75","0.5","0.3333333333333333"
"183","1","0.5","1.0","1.0","1.0","0.0","0.0"
"184","1","0.75","0.5","0.25","0.5","0.5","0.0"
"185","0","0.75","0.5","0.25","0.0","0.25","0.0"
"186","1","0.5","1.0","1.0","1.0","0.5","0.0"
"187","1","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.5","0.3333333333333333","0.3333333333333333"
"188","1","1.0","0.6666666666666666","0.3333333333333333","0.3333333333333333","1.3333333333333333","0.0"
"189","0","1.0","1.0","0.75","0.75","1.0","0.0"
"190","0","0.75","0.5","0.75","0.5","0.5","0.0"
"191","0","1.0","1.0","0.75","0.25","0.5","0.0"
"192","0","0.75","0.0","1.0","0.25","0.25","0.5"
"193","0","0.75","0.5","0.25","0.5","0.75","0.5"
"194","1","0.6666666666666666","0.6666666666666666","0.6666666666666666","1.0","0.3333333333333333","nan"
"195","1","0.4","0.8","0.2","0.8","0.4","nan"
"196","1","0.5","0.0","0.5","0.0","0.25","nan"
"197","0","0.75","0.5","0.75","0.5","0.125","nan"
"198","0","0.5","0.5","1.0","1.0","0.25","nan"
"199","1","0.25","0.25","0.25","0.5","0.0","nan"
"200","1","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","nan"
"201","0","0.75","1.0","0.75","1.0","0.5","nan"
"202","0","0.75","0.5","0.25","1.0","0.25","nan"
"203","1","1.0","1.0","0.5","0.5","1.5","nan"
"204","0","0.75","0.5","0.25","0.5","0.25","nan"
"205","0","0.75","1.0","0.75","0.5","0.625","nan"
"206","1","0.6666666666666666","0.3333333333333333","0.5","0.6666666666666666","0.5555555555555556","nan"
"207","1","0.3333333333333333","0.0","0.0","0.6666666666666666","0.0","nan"
"208","1","0.5","0.5","0.5","0.5","0.0","nan"
"209","1","0.8","0.8","0.8","0.8","0.6666666666666667","nan"
"210","0","0.75","0.5","0.5","1.0","0.75","0.0"
"211","0","0.75","0.0","0.5","1.0","0.5","0.5"
"212","1","0.75","1.0","0.5","0.0","0.16666666666666666","nan"
"213","1","1.5","1.0","1.0","0.0","1.0","nan"
"214","0","0.75","0.0","0.5","1.0","0.25","0.0"
"215","0","0.75","1.0","0.75","0.5","0.25","0.0"
"216","0","1.0","1.0","0.75","1.0","0.75","0.0"
"217","0","0.75","1.0","0.25","1.0","0.25","0.0"
