"id","unequal","endowment","payoff","payoff_norm","contribution","contribution_norm"
"264","0","40","16","0.4","24","0.6"
"265","1","40","10","0.25","30","0.75"
"267","1","60","36","0.6","24","0.4"
"268","1","50","26","0.52","24","0.48"
"269","1","40","16","0.4","24","0.6"
"270","1","30","10","0.3333333333333333","20","0.6666666666666666"
"271","1","20","12","0.6","8","0.4"
"272","0","40","10","0.25","30","0.75"
"273","0","40","14","0.35","26","0.65"
"274","0","40","8","0.2","32","0.8"
"275","0","40","26","0.65","14","0.35"
"276","0","40","26","0.65","14","0.35"
"277","0","40","30","0.75","10","0.25"
"278","0","40","18","0.45","22","0.55"
"279","0","40","20","0.5","20","0.5"
"280","0","40","18","0.45","22","0.55"
"281","0","40","24","0.6","16","0.4"
"282","0","40","10","0.25","30","0.75"
"283","0","40","20","0.5","20","0.5"
"284","0","40","22","0.55","18","0.45"
"285","0","40","20","0.5","20","0.5"
"286","0","40","18","0.45","22","0.55"
"287","0","40","18","0.45","22","0.55"
"288","0","40","26","0.65","14","0.35"
"289","1","40","22","0.55","18","0.45"
"290","0","40","12","0.3","28","0.7"
"291","1","50","20","0.4","30","0.6"
"292","1","60","36","0.6","24","0.4"
"293","1","30","6","0.2","24","0.8"
"294","1","20","0","0.0","20","1.0"
"295","0","40","20","0.5","20","0.5"
"296","1","40","14","0.35","26","0.65"
"297","0","40","14","0.35","26","0.65"
"298","0","40","10","0.25","30","0.75"
"299","0","40","24","0.6","16","0.4"
"300","0","40","16","0.4","24","0.6"
"301","0","40","22","0.55","18","0.45"
"302","1","50","22","0.44","28","0.56"
"303","1","40","12","0.3","28","0.7"
"304","1","20","20","1.0","0","0.0"
"305","1","40","20","0.5","20","0.5"
"306","1","30","20","0.6666666666666666","10","0.3333333333333333"
"307","1","60","24","0.4","36","0.6"
"308","1","60","34","0.5666666666666667","26","0.43333333333333335"
"309","1","50","24","0.48","26","0.52"
"310","1","30","12","0.4","18","0.6"
"311","1","20","0","0.0","20","1.0"
"312","1","40","16","0.4","24","0.6"
"313","1","40","28","0.7","12","0.3"
"314","1","60","36","0.6","24","0.4"
"315","1","30","26","0.8666666666666667","4","0.13333333333333333"
"316","1","20","0","0.0","20","1.0"
"317","1","50","28","0.56","22","0.44"
"318","1","40","10","0.25","30","0.75"
"319","1","40","14","0.35","26","0.65"
"320","0","40","20","0.5","20","0.5"
"321","0","40","17","0.425","23","0.575"
"322","0","40","25","0.625","15","0.375"
"323","0","40","22","0.55","18","0.45"
"324","0","40","17","0.425","23","0.575"
"325","0","40","18","0.45","22","0.55"
